氏名,ふりがな,会派,選挙区,当選回数,令和6年1月19日現在
逢沢　　一郎君,あいさわ 　いちろう,自民,岡山1,12,
青柳　　仁士君,あおやぎ 　ひとし,維教,大阪14,1,
青柳　陽一郎君,あおやぎ 　よういちろう,立憲,（比）南関東,4,
青山　　周平君,あおやま 　しゅうへい,自民,（比）東海,4,
青山　　大人君,あおやま 　やまと,立憲,（比）北関東,2,
赤木　　正幸君,あかぎ 　まさゆき,維教,（比）近畿,1,
赤澤　　亮正君,あかざわ 　りょうせい,自民,鳥取2,6,
赤羽　　一嘉君,あかば 　かずよし,公明,兵庫2,9,
あかま　二郎君,あかま 　じろう,自民,神奈川14,5,
赤嶺　　政賢君,あかみね 　せいけん,共産,沖縄1,8,
秋葉　　賢也君,あきば 　けんや,自民,（比）東北,7,
秋本　　真利君,あきもと 　まさとし,無,（比）南関東,4,
浅川　　義治君,あさかわ 　よしはる,維教,（比）南関東,1,
浅野　　　哲君,あさの 　さとし,国民,茨城5,2,
東　　　国幹君,あずま 　くによし,自民,北海道6,1,
安住　　　淳君,あずみ 　じゅん,立憲,宮城5,9,
畦元　　将吾君,あぜもと 　しょうご,自民,（比）中国,2,
麻生　　太郎君,あそう 　たろう,自民,福岡8,14,
足立　　康史君,あだち 　やすし,維教,大阪9,4,
阿部　　　司君,あべ 　つかさ,維教,（比）東京,1,
あべ　　俊子君,あべ 　としこ,自民,（比）中国,6,
阿部　　知子君,あべ 　ともこ,立憲,神奈川12,8,
阿部　　弘樹君,あべ 　ひろき,維教,（比）九州,1,
甘利　　　明君,あまり 　あきら,自民,（比）南関東,13,
荒井　　　優君,あらい 　ゆたか,立憲,（比）北海道,1,
新垣　　邦男君,あらかき 　くにお,立憲,沖縄2,1,
五十嵐　　清君,いがらし 　きよし,自民,（比）北関東,1,
池下　　　卓君,いけした 　たく,維教,大阪10,1,
池田　　佳隆君,いけだ 　よしたか,無,（比）東海,4,
池畑　浩太朗君,いけはた 　こうたろう,維教,（比）近畿,1,
伊佐　　進一君,いさ 　しんいち,公明,大阪6,4,
井坂　　信彦君,いさか 　のぶひこ,立憲,兵庫1,3,
石井　　啓一君,いしい 　けいいち,公明,（比）北関東　　,10,
石井　　　拓君,いしい 　たく,自民,（比）東海,1,
石川　　昭政君,いしかわ 　あきまさ,自民,（比）北関東,4,
石川　　香織君,いしかわ 　かおり,立憲,北海道11,2,
石田　　真敏君,いしだ 　まさとし,自民,和歌山2,8,
石破　　　茂君,いしば 　しげる,自民,鳥取1,12,
石橋　林太郎君,いしばし 　りんたろう,自民,（比）中国,1,
石原　　宏高君,いしはら 　ひろたか,自民,（比）東京,5,
石原　　正敬君,いしはら 　まさたか,自民,（比）東海,1,
泉　　　健太君,いずみ 　けんた,立憲,京都3,8,
泉田　　裕彦君,いずみだ 　ひろひこ,自民,（比）北陸信越,2,
一谷　勇一郎君,いちたに 　ゆういちろう,維教,（比）近畿,1,
市村　浩一郎君,いちむら 　こういちろう,維教,兵庫6,4,
井出　　庸生君,いで 　ようせい,自民,長野3,4,
伊藤　　俊輔君,いとう 　しゅんすけ,立憲,（比）東京,2,
伊藤　信太郎君,いとう 　しんたろう,自民,宮城4,7,
伊藤　　忠彦君,いとう 　ただひこ,自民,愛知8,5,
伊藤　　達也君,いとう 　たつや,自民,東京22,9,
伊東　　信久君,いとう 　のぶひさ,維教,大阪19,3,
伊東　　良孝君,いとう 　よしたか,自民,北海道7,5,
伊藤　　　渉君,いとう 　わたる,公明,（比）東海,5,
稲田　　朋美君,いなだ 　ともみ,自民,福井1,6,
稲津　　　久君,いなつ 　ひさし,公明,北海道10,5,
稲富　　修二君,いなとみ 　しゅうじ,立憲,（比）九州,3,
井野　　俊郎君,いの 　としろう,自民,群馬2,4,
井上　　信治君,いのうえ 　しんじ,自民,東京25,7,
井上　　貴博君,いのうえ 　たかひろ,自民,福岡1,4,
井上　　英孝君,いのうえ 　ひでたか,維教,大阪1,4,
井林　　辰憲君,いばやし 　たつのり,自民,静岡2,4,
井原　　　巧君,いはら 　たくみ,自民,愛媛3,1（参1）,
今枝　宗一郎君,いまえだ 　そういちろう,自民,愛知14,4,
今村　　雅弘君,いまむら 　まさひろ,自民,（比）九州,9,
岩田　　和親君,いわた 　かずちか,自民,（比）九州,4,
岩谷　　良平君,いわたに 　りょうへい,維教,大阪13,1,
岩屋　　　毅君,いわや 　たけし,自民,大分3,9,
上杉　謙太郎君,うえすぎ 　けんたろう,自民,（比）東北,2,
上田　　英俊君,うえだ 　えいしゅん,自民,富山2,1,
上野　賢一郎君,うえの 　けんいちろう,自民,滋賀2,5,
浮島　　智子君,うきしま 　ともこ,公明,（比）近畿,4（参1）,
梅谷　　　守君,うめたに 　まもる,立憲,新潟6,1,
浦野　　靖人君,うらの 　やすと,維教,大阪15,4,
うるま　譲司君,うるま 　じょうじ,維教,大阪8,1,
江崎　　鐵磨君,えさき 　てつま,自民,愛知10,8,
江田　　憲司君,えだ 　けんじ,立憲,神奈川8,7,
枝野　　幸男君,えだの 　ゆきお,立憲,埼玉5,10,
